Municipality,IBGE.Code,IBGE.Code6,State,Region,Koppen,Altitude
Alta Floresta D'Oeste,1100015,110001,RO,Norte,Am,246
Ariquemes,1100023,110002,RO,Norte,Am,166
Cabixi,1100031,110003,RO,Norte,Am,224
Cacoal,1100049,110004,RO,Norte,Am,230
Cerejeiras,1100056,110005,RO,Norte,Am,192
Colorado do Oeste,1100064,110006,RO,Norte,Am,360
Corumbiara,1100072,110007,RO,Norte,Am,267
Costa Marques,1100080,110008,RO,Norte,Am,190
Espigão D'Oeste,1100098,110009,RO,Norte,Am,297
Guajará-Mirim,1100106,110010,RO,Norte,Am,198
Jaru,1100114,110011,RO,Norte,Am,210
Ji-Paraná,1100122,110012,RO,Norte,Am,194
Machadinho D'Oeste,1100130,110013,RO,Norte,Am,137
Nova Brasilândia D'Oeste,1100148,110014,RO,Norte,Am,249
Ouro Preto do Oeste,1100155,110015,RO,Norte,Am,220
Pimenta Bueno,1100189,110018,RO,Norte,Am,286
Porto Velho,1100205,110020,RO,Norte,Am,120
Presidente Médici,1100254,110025,RO,Norte,Am,211
Rio Crespo,1100262,110026,RO,Norte,Am,153
Rolim de Moura,1100288,110028,RO,Norte,Am,242
Santa Luzia D'Oeste,1100296,110029,RO,Norte,Am,342
Vilhena,1100304,110030,RO,Norte,Am,409
São Miguel do Guaporé,1100320,110032,RO,Norte,Am,237
Nova Mamoré,1100338,110033,RO,Norte,Am,205
Alvorada D'Oeste,1100346,110034,RO,Norte,Am,249
Alto Alegre dos Parecis,1100379,110037,RO,Norte,Am,255
Alto Paraíso,1100403,110040,RO,Norte,Am,135
Buritis,1100452,110045,RO,Norte,Am,170
Novo Horizonte do Oeste,1100502,110050,RO,Norte,Am,253
Cacaulândia,1100601,110060,RO,Norte,Am,192
Campo Novo de Rondônia,1100700,110070,RO,Norte,Am,249
Candeias do Jamari,1100809,110080,RO,Norte,Am,103
Castanheiras,1100908,110090,RO,Norte,Am,201
Chupinguaia,1100924,110092,RO,Norte,Am,330
Cujubim,1100940,110094,RO,Norte,Am,129
Governador Jorge Teixeira,1101005,110100,RO,Norte,Am,279
Itapuã do Oeste,1101104,110110,RO,Norte,Am,116
Ministro Andreazza,1101203,110120,RO,Norte,Am,305
